hyp_id,method,kasus,stat,p_value,keputusan,kesimpulan_1,effect_size,kesimpulan_2
h1,One Way ANOVA,Cust Age vs Total Sales,0.3358630341483193,0.8538853337369509,Gagal Tolak H0,Tidak Terdapat Perbedaan Total Sales Yang Signifikan Antar Kelompok Usia,-,Tidak Terdapat Perbedaan Total Sales Yang Signifikan Antar Kelompok Usia
h2,One Way ANOVA,Prod Category vs Total Sales,61.487888579549534,5.4770204411675746e-73,Tolak H0,Terdapat Perbedaan Total Sales Yang Signifikan Antar Product Category,0.089,Terdapat Perbedaan Total Sales Antar Kelompok Kategori Produk Dengan Effect Size Medium
h3,Independent T-test,Weekend vs Total Sales,0.33676585624389577,0.7363642870639888,Gagal Tolak H0,Tidak Terdapat Perbedaan Yang Signifikan Pada Total Sales Antara Waktu Weekend Atau Tidak,-,Tidak Terdapat Perbedaan Yang Signifikan Pada Total Sales Antara Waktu Weekend Atau Tidak
h4,Independent T-test,Cust Gender vs Total Sales,-0.15733183072977786,0.8750151912711501,Gagal Tolak H0,Tidak Terdapat Perbedaan Yang Signifikan Pada Total Sales Antar Gender,-,Tidak Terdapat Perbedaan Yang Signifikan Pada Total Sales Antar Gender
h5,Chi Square,Cust Segment vs Order Size,4.655456139402007,0.3245102163722867,Gagal Tolak H0,Tidak Terdapat Bukti Hubungan Yang Signifikan Antara Customer Segment Dengan Jumlah Order Size,-,Tidak Terdapat Bukti Hubungan Yang Signifikan Antara Customer Segment Dengan Jumlah Order Size
h6,Chi Square,Payment Method vs Order Size,13.835386472957843,0.03153002685607519,Tolak H0,Terdapat Hubungan Yang Signifikan Antara Payment Method Dengan Jumlah Order Size,0.083,Metode Pembayaran Memiliki Hubungan Yang Negligible Dengan Jumlah Order Size
h7,Pearson Correlation,Prod Price vs Total Qty,-0.010334991434045761,0.5262737122541378,Gagal Tolak H0,Tidak Terdapat Korelasi Yang Signifikan Antara Harga Product Satuan Dengan Jumlah Produk Yang Dibeli,-,Product Price Memiliki Korelasi Negative Yang Negligible Dengan Total Quantity
h8,Pearson Correlation,Item Sold vs Total Sales,0.8863858182340809,0.0,Tolak H0,Terdapat Korelasi Yang Signifikan Antara Produk Item Sold Dengan Total Penjualan,-,Item Sold Memiliki Korelasi Positive Yang Very Strong Dengan Total Sales
